"latitude","longitude","generationtime_ms","utc_offset_seconds","timezone","timezone_abbreviation","elevation","daily_units__time","daily_units__precipitation_sum","daily_units__rain_sum","daily_units__temperature_2m_max","daily_units__temperature_2m_min","daily_units__temperature_2m_mean","daily_units__relative_humidity_2m_mean","daily_units__dewpoint_2m_mean","daily_units__wind_speed_10m_mean","daily_units__wind_direction_10m_dominant","daily_units__wind_gusts_10m_max","daily_units__surface_pressure_mean","daily_units__cloud_cover_mean","daily_units__shortwave_radiation_sum","daily__time","daily__precipitation_sum","daily__rain_sum","daily__temperature_2m_max","daily__temperature_2m_min","daily__temperature_2m_mean","daily__relative_humidity_2m_mean","daily__dewpoint_2m_mean","daily__wind_speed_10m_mean","daily__wind_direction_10m_dominant","daily__wind_gusts_10m_max","daily__surface_pressure_mean","daily__cloud_cover_mean","daily__shortwave_radiation_sum"
"13.532514","80.02747","123.05819988250732","19800","Asia/Kolkata","GMT+5:30","13.0","iso8601","mm","mm","°C","°C","°C","%","°C","km/h","°","km/h","hPa","%","MJ/m²","2025-01-01","1.30","1.30","28.2","22.1","24.9","84","21.8","11.3","22","34.9","1012.4","47","17.18"
"","","","","","","","","","","","","","","","","","","","","","2025-01-02","0.10","0.10","27.8","21.4","24.4","79","20.3","9.7","21","35.3","1012.2","62","17.66"
"","","","","","","","","","","","","","","","","","","","","","2025-01-03","0.00","0.00","28.1","20.9","24.2","75","19.2","12.1","7","35.6","1012.5","52","18.23"
"","","","","","","","","","","","","","","","","","","","","","2025-01-04","0.00","0.00","27.5","20.2","23.6","76","19.0","9.4","13","30.2","1011.7","32","17.92"
"","","","","","","","","","","","","","","","","","","","","","2025-01-05","0.00","0.00","27.1","20.1","23.7","76","19.1","7.6","35","30.6","1011.8","29","17.81"
"","","","","","","","","","","","","","","","","","","","","","2025-01-06","0.30","0.30","27.4","20.2","23.6","77","19.2","7.3","4","23.8","1011.4","22","16.74"
"","","","","","","","","","","","","","","","","","","","","","2025-01-07","0.00","0.00","28.2","20.7","24.2","77","19.7","9.5","12","28.1","1011.3","15","17.51"
"","","","","","","","","","","","","","","","","","","","","","2025-01-08","0.00","0.00","27.5","19.4","23.4","78","19.0","9.4","13","33.1","1011.3","12","18.06"
"","","","","","","","","","","","","","","","","","","","","","2025-01-09","0.50","0.50","27.9","20.0","24.0","71","18.2","11.5","29","39.2","1012.2","22","16.75"
"","","","","","","","","","","","","","","","","","","","","","2025-01-10","2.00","2.00","27.1","21.1","24.3","76","19.9","13.4","27","43.6","1013.5","43","16.66"
"","","","","","","","","","","","","","","","","","","","","","2025-01-11","0.10","0.10","27.8","22.4","25.0","74","19.9","12.3","38","37.1","1013.4","88","15.94"
"","","","","","","","","","","","","","","","","","","","","","2025-01-12","0.40","0.40","27.2","21.0","24.5","78","20.2","12.7","7","32.4","1012.8","88","7.16"
"","","","","","","","","","","","","","","","","","","","","","2025-01-13","19.50","19.50","26.6","23.2","24.6","90","22.7","12.7","51","43.2","1011.4","86","10.72"
"","","","","","","","","","","","","","","","","","","","","","2025-01-14","0.50","0.50","28.1","22.6","25.4","79","21.4","12.8","38","40.3","1012.6","55","18.16"
"","","","","","","","","","","","","","","","","","","","","","2025-01-15","0.00","0.00","28.5","22.9","25.6","74","20.4","13.8","44","42.5","1013.5","45","18.10"
"","","","","","","","","","","","","","","","","","","","","","2025-01-16","0.30","0.30","27.8","22.9","25.1","74","20.0","11.7","47","38.5","1013.3","42","16.68"
"","","","","","","","","","","","","","","","","","","","","","2025-01-17","0.90","0.90","27.0","21.4","24.5","77","20.1","12.9","39","41.4","1012.2","29","17.27"
"","","","","","","","","","","","","","","","","","","","","","2025-01-18","1.10","1.10","28.0","21.0","24.8","75","19.8","14.2","19","38.2","1011.4","83","14.60"
"","","","","","","","","","","","","","","","","","","","","","2025-01-19","15.50","15.50","28.2","22.5","24.9","85","22.1","14.0","25","42.5","1011.3","92","15.57"
"","","","","","","","","","","","","","","","","","","","","","2025-01-20","0.00","0.00","28.3","21.1","24.1","82","20.5","11.7","2","36.0","1010.9","53","19.25"
"","","","","","","","","","","","","","","","","","","","","","2025-01-21","0.00","0.00","27.5","20.3","23.6","80","19.7","9.6","6","27.4","1010.3","48","19.59"
"","","","","","","","","","","","","","","","","","","","","","2025-01-22","0.10","0.10","27.7","20.6","24.0","77","19.7","10.0","21","31.3","1010.4","20","17.75"
"","","","","","","","","","","","","","","","","","","","","","2025-01-23","0.00","0.00","27.8","20.2","24.0","79","19.8","6.6","46","25.6","1010.5","66","19.61"
"","","","","","","","","","","","","","","","","","","","","","2025-01-24","0.00","0.00","27.6","20.5","23.9","76","19.1","7.4","35","27.0","1010.4","29","20.10"
"","","","","","","","","","","","","","","","","","","","","","2025-01-25","0.30","0.30","27.8","20.0","23.5","80","19.5","7.7","28","28.8","1010.9","42","20.89"
"","","","","","","","","","","","","","","","","","","","","","2025-01-26","0.00","0.00","27.0","18.5","22.8","84","19.8","6.1","30","26.6","1010.8","74","20.76"
"","","","","","","","","","","","","","","","","","","","","","2025-01-27","0.00","0.00","28.0","18.7","23.2","83","19.9","6.0","52","25.2","1010.1","54","20.22"
"","","","","","","","","","","","","","","","","","","","","","2025-01-28","0.00","0.00","28.0","20.7","24.1","80","20.1","5.8","74","24.8","1010.5","80","20.82"
"","","","","","","","","","","","","","","","","","","","","","2025-01-29","0.00","0.00","28.0","20.0","24.0","76","19.1","9.9","25","33.1","1011.8","51","21.30"
"","","","","","","","","","","","","","","","","","","","","","2025-01-30","0.00","0.00","29.0","19.6","24.3","81","20.7","7.9","33","27.7","1010.3","8","20.39"
"","","","","","","","","","","","","","","","","","","","","","2025-01-31","0.50","0.50","28.5","21.4","25.1","88","22.8","7.2","84","31.0","1009.7","40","18.62"
"","","","","","","","","","","","","","","","","","","","","","2025-02-01","0.50","0.50","29.1","23.1","25.5","86","22.9","6.8","98","28.4","1010.3","42","19.16"
"","","","","","","","","","","","","","","","","","","","","","2025-02-02","0.00","0.00","29.7","21.7","24.9","78","20.1","6.4","108","28.4","1010.6","30","22.01"
"","","","","","","","","","","","","","","","","","","","","","2025-02-03","0.00","0.00","29.6","18.4","23.9","79","19.5","5.5","79","26.3","1010.9","40","22.21"
"","","","","","","","","","","","","","","","","","","","","","2025-02-04","0.00","0.00","30.4","19.0","24.2","79","19.4","5.0","87","23.8","1011.0","59","21.36"
"","","","","","","","","","","","","","","","","","","","","","2025-02-05","0.00","0.00","31.0","20.8","25.2","78","20.4","7.1","141","28.1","1010.2","40","21.87"
"","","","","","","","","","","","","","","","","","","","","","2025-02-06","0.00","0.00","29.2","20.9","24.7","82","21.0","7.1","106","30.2","1010.2","21","22.04"
"","","","","","","","","","","","","","","","","","","","","","2025-02-07","0.00","0.00","29.7","20.2","24.8","83","21.4","6.3","89","32.0","1011.6","47","21.93"
"","","","","","","","","","","","","","","","","","","","","","2025-02-08","0.00","0.00","30.5","19.8","25.0","80","20.6","6.4","107","30.6","1011.4","50","21.87"
"","","","","","","","","","","","","","","","","","","","","","2025-02-09","0.30","0.30","29.5","20.7","25.1","82","21.5","7.1","74","32.0","1011.1","65","20.64"
"","","","","","","","","","","","","","","","","","","","","","2025-02-10","1.20","1.20","29.6","21.5","25.3","77","20.4","7.8","67","33.5","1012.1","58","21.51"
"","","","","","","","","","","","","","","","","","","","","","2025-02-11","0.00","0.00","29.6","20.4","24.7","76","19.6","6.7","95","30.6","1012.2","64","23.03"
"","","","","","","","","","","","","","","","","","","","","","2025-02-12","0.00","0.00","31.0","19.2","24.3","75","18.8","6.4","145","27.4","1011.9","67","23.00"
"","","","","","","","","","","","","","","","","","","","","","2025-02-13","0.00","0.00","32.0","19.6","24.6","76","19.5","8.7","165","32.8","1011.3","74","23.16"
"","","","","","","","","","","","","","","","","","","","","","2025-02-14","0.00","0.00","32.4","19.9","25.0","76","19.8","10.2","165","33.8","1010.8","2","23.41"
"","","","","","","","","","","","","","","","","","","","","","2025-02-15","0.00","0.00","31.8","21.0","25.5","78","20.8","9.8","156","36.0","1010.0","41","22.94"
"","","","","","","","","","","","","","","","","","","","","","2025-02-16","0.00","0.00","31.5","22.3","25.8","78","21.1","10.5","156","38.9","1010.8","11","23.08"
"","","","","","","","","","","","","","","","","","","","","","2025-02-17","0.00","0.00","32.0","21.6","26.2","76","21.1","9.5","145","37.8","1012.1","15","22.56"
"","","","","","","","","","","","","","","","","","","","","","2025-02-18","0.00","0.00","32.1","21.4","26.1","74","20.6","10.3","156","38.9","1011.8","9","22.66"
"","","","","","","","","","","","","","","","","","","","","","2025-02-19","0.00","0.00","32.2","21.0","26.1","75","20.7","10.5","149","40.0","1010.1","1","23.21"
"","","","","","","","","","","","","","","","","","","","","","2025-02-20","0.00","0.00","33.0","22.0","26.7","73","20.8","10.6","151","38.2","1010.9","11","22.92"
"","","","","","","","","","","","","","","","","","","","","","2025-02-21","0.00","0.00","30.8","21.6","26.3","75","21.1","7.6","100","32.8","1012.4","15","23.05"
